text,label
"Congratulations! You won a $1000 gift card!",1
"Claim your free iPhone now!",1
"You have been selected for a prize!",1
"Win a brand new car today!",1
"Limited time offer – click here!",1
"Earn $5000 per week from home!",1
"Get your free vacation tickets!",1
"You are the lucky winner!",1
"Act now to claim your reward!",1
"Your account has won $500!",1
"Make money fast working online!",1
"Exclusive deal just for you!",1
"Congratulations! You have won a lottery!",1
"Claim your cash prize immediately!",1
"Earn money without leaving home!",1
"Free iPhone giveaway – click now!",1
"Win tickets to the concert!",1
"Get paid to watch videos!",1
"Your subscription has won a bonus!",1
"Special promotion – don't miss out!",1
"Earn $1000 per day from home!",1
"Free gift card for our members!",1
"Claim your Amazon voucher now!",1
"You've been selected for a free prize!",1
"Win a free trip to Hawaii!",1
"Make money fast online!",1
"Congratulations! Claim your reward!",1
"Act fast to win $5000!",1
"Get your free membership now!",1
"Win cash prizes instantly!",1
"Exclusive offer just for you!",1
"Claim your reward before it expires!",1
"Earn money quickly and easily!",1
"You have won a luxury watch!",1
"Free entry to our sweepstakes!",1
"Your account is eligible for bonus!",1
"Limited offer – claim now!",1
"Win a brand new laptop!",1
"Congratulations! You've been chosen!",1
"Earn extra cash from home!",1
"Free online course giveaway!",1
"Claim your prize today!",1
"Special bonus for you!",1
"Win gift cards now!",1
"Get paid for surveys!",1
"Your reward is waiting!",1
"Earn $2000 per week easily!",1
"Free trial for premium membership!",1
"Act now and win prizes!",1
"Free samples for new users!",1
"Make money online quickly!",1
"Important meeting tomorrow",0
"Please review the attached report",0
"Can you send me the project files?",0
"Let's schedule a meeting next week",0
"Your invoice is attached",0
"Team lunch is at 12 pm today",0
"Please check the updated project plan",0
"Reminder: submit your timesheet",0
"Can we reschedule the call?",0
"Meeting agenda for tomorrow",0
"Please review the budget report",0
"Project update attached",0
"Don't forget to send your feedback",0
"Weekly team meeting notes",0
"Please approve the leave request",0
"Client presentation slides attached",0
"Team standup tomorrow at 10 am",0
"Please review the proposal draft",0
"Your password reset request",0
"Follow up on the client email",0
"Meeting minutes attached",0
"Please check the marketing report",0
"Schedule the project kickoff",0
"Review the quarterly report",0
"Client meeting rescheduled",0
"Prepare the presentation for Friday",0
"Team survey feedback needed",0
"Check the HR policy updates",0
"Please submit your performance review",0
"Weekly project status report",0
"Budget approval needed",0
"Team outing next week",0
"Send the updated document",0
"Reminder: team meeting at 3 pm",0
